GO Term,Description,P-value,FDR q-value,Enrichment,N,B,n,b,Genes
GO:0010628,positive regulation of gene expression,6.80E-06,3.65E-03,2.6,12835,1502,79,24,"[Nfib  -  nuclear factor i/b, Meis2  -  meis homeobox 2, Dlx6os1  -  dlx6 opposite strand rna 1, Bcl11b  -  b cell leukemia/lymphoma 11b, Iqgap3  -  iq motif containing gtpase activating protein 3, Zbtb18  -  zinc finger and btb domain containing 18, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Dlx1  -  distal-less homeobox 1, Tead2  -  tea domain family member 2, Gli2  -  gli-kruppel family member gli2, Nrg1  -  neuregulin 1, Rps3a1  -  ribosomal protein s3a1, Msn  -  moesin, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Sox6  -  sry-box containing gene 6, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Cdk6  -  cyclin-dependent kinase 6, Sfrp1  -  secreted frizzled-related protein 1, Satb2  -  special at-rich sequence binding protein 2, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0048513,animal organ development,6.83E-06,3.54E-03,3.1,12835,996,79,19,"[Heg1  -  heg homolog 1 (zebrafish), Nfib  -  nuclear factor i/b, Nrg3  -  neuregulin 3, Meg3  -  maternally expressed 3, Meis2  -  meis homeobox 2, Bcl11b  -  b cell leukemia/lymphoma 11b, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Foxp4  -  forkhead box p4, Tead2  -  tea domain family member 2, Gli2  -  gli-kruppel family member gli2, Dscaml1  -  down syndrome cell adhesion molecule like 1, Nrg1  -  neuregulin 1, Sox6  -  sry-box containing gene 6, Pbx1  -  pre b cell leukemia homeobox 1, Cdk6  -  cyclin-dependent kinase 6, Sfrp1  -  secreted frizzled-related protein 1, Satb2  -  special at-rich sequence binding protein 2, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0021879,forebrain neuron differentiation,7.35E-06,3.67E-03,30.95,12835,21,79,4,"[Bcl11b  -  b cell leukemia/lymphoma 11b, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Dlx1  -  distal-less homeobox 1, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0051253,negative regulation of RNA metabolic process,7.45E-06,3.60E-03,3.08,12835,1002,79,19,"[Suz12  -  suppressor of zeste 12 homolog (drosophila), Rps26  -  ribosomal protein s26, Nfib  -  nuclear factor i/b, Zbtb18  -  zinc finger and btb domain containing 18, Foxp4  -  forkhead box p4, Dlx1  -  distal-less homeobox 1, Gli2  -  gli-kruppel family member gli2, Nrg1  -  neuregulin 1, Kank2  -  kn motif and ankyrin repeat domains 2, Sox6  -  sry-box containing gene 6, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Tcf4  -  transcription factor 4, Cdk6  -  cyclin-dependent kinase 6, Sfrp1  -  secreted frizzled-related protein 1, Satb2  -  special at-rich sequence binding protein 2, Basp1  -  brain abundant, membrane attached signal protein 1, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Zbtb20  -  zinc finger and btb domain containing 20]"
GO:0045892,"negative regulation of transcription, DNA-templated",8.40E-06,3.92E-03,3.19,12835,916,79,18,"[Suz12  -  suppressor of zeste 12 homolog (drosophila), Nfib  -  nuclear factor i/b, Zbtb18  -  zinc finger and btb domain containing 18, Foxp4  -  forkhead box p4, Dlx1  -  distal-less homeobox 1, Gli2  -  gli-kruppel family member gli2, Nrg1  -  neuregulin 1, Kank2  -  kn motif and ankyrin repeat domains 2, Sox6  -  sry-box containing gene 6, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Tcf4  -  transcription factor 4, Cdk6  -  cyclin-dependent kinase 6, Sfrp1  -  secreted frizzled-related protein 1, Satb2  -  special at-rich sequence binding protein 2, Basp1  -  brain abundant, membrane attached signal protein 1, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Zbtb20  -  zinc finger and btb domain containing 20]"
GO:1903507,negative regulation of nucleic acid-templated transcription,8.92E-06,4.04E-03,3.18,12835,920,79,18,"[Suz12  -  suppressor of zeste 12 homolog (drosophila), Nfib  -  nuclear factor i/b, Zbtb18  -  zinc finger and btb domain containing 18, Foxp4  -  forkhead box p4, Dlx1  -  distal-less homeobox 1, Gli2  -  gli-kruppel family member gli2, Nrg1  -  neuregulin 1, Kank2  -  kn motif and ankyrin repeat domains 2, Sox6  -  sry-box containing gene 6, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Tcf4  -  transcription factor 4, Cdk6  -  cyclin-dependent kinase 6, Sfrp1  -  secreted frizzled-related protein 1, Satb2  -  special at-rich sequence binding protein 2, Basp1  -  brain abundant, membrane attached signal protein 1, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Zbtb20  -  zinc finger and btb domain containing 20]"
GO:1902679,negative regulation of RNA biosynthetic process,8.92E-06,3.91E-03,3.18,12835,920,79,18,"[Suz12  -  suppressor of zeste 12 homolog (drosophila), Nfib  -  nuclear factor i/b, Zbtb18  -  zinc finger and btb domain containing 18, Foxp4  -  forkhead box p4, Dlx1  -  distal-less homeobox 1, Gli2  -  gli-kruppel family member gli2, Nrg1  -  neuregulin 1, Kank2  -  kn motif and ankyrin repeat domains 2, Sox6  -  sry-box containing gene 6, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Tcf4  -  transcription factor 4, Cdk6  -  cyclin-dependent kinase 6, Sfrp1  -  secreted frizzled-related protein 1, Satb2  -  special at-rich sequence binding protein 2, Basp1  -  brain abundant, membrane attached signal protein 1, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Zbtb20  -  zinc finger and btb domain containing 20]"
GO:0050767,regulation of neurogenesis,9.16E-06,3.90E-03,3.33,12835,830,79,17,"[Nrg3  -  neuregulin 3, Bcl11b  -  b cell leukemia/lymphoma 11b, Fat3  -  fat tumor suppressor homolog 3 (drosophila), Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Dleu2  -  deleted in lymphocytic leukemia, 2, Dlx1  -  distal-less homeobox 1, Cdc20  -  cell division cycle 20, Gli2  -  gli-kruppel family member gli2, Epha3  -  eph receptor a3, Nrg1  -  neuregulin 1, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Plxna2  -  plexin a2, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Sfrp1  -  secreted frizzled-related protein 1, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0050768,negative regulation of neurogenesis,9.57E-06,3.96E-03,5.68,12835,286,79,10,"[Nrg1  -  neuregulin 1, Nrg3  -  neuregulin 3, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Pbx1  -  pre b cell leukemia homeobox 1, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Fat3  -  fat tumor suppressor homolog 3 (drosophila), Dleu2  -  deleted in lymphocytic leukemia, 2, Dlx1  -  distal-less homeobox 1, Epha3  -  eph receptor a3, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0000122,negative regulation of transcription by RNA polymerase II,1.46E-05,5.89E-03,3.57,12835,682,79,15,"[Suz12  -  suppressor of zeste 12 homolog (drosophila), Nfib  -  nuclear factor i/b, Zbtb18  -  zinc finger and btb domain containing 18, Foxp4  -  forkhead box p4, Dlx1  -  distal-less homeobox 1, Gli2  -  gli-kruppel family member gli2, Kank2  -  kn motif and ankyrin repeat domains 2, Sox6  -  sry-box containing gene 6, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Tcf4  -  transcription factor 4, Cdk6  -  cyclin-dependent kinase 6, Satb2  -  special at-rich sequence binding protein 2, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Zbtb20  -  zinc finger and btb domain containing 20]"
GO:0048523,negative regulation of cellular process,1.54E-05,6.01E-03,1.81,12835,3583,79,40,"[Rps26  -  ribosomal protein s26, Nfib  -  nuclear factor i/b, Hnrnpr  -  heterogeneous nuclear ribonucleoprotein r, Meis2  -  meis homeobox 2, Bcl11b  -  b cell leukemia/lymphoma 11b, Tpt1  -  tumor protein, translationally-controlled 1, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Dlx1  -  distal-less homeobox 1, Dleu2  -  deleted in lymphocytic leukemia, 2, Dscaml1  -  down syndrome cell adhesion molecule like 1, Kank2  -  kn motif and ankyrin repeat domains 2, Pcdh11x  -  protocadherin 11 x-linked, Rian  -  rna imprinted and accumulated in nucleus, Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Sox6  -  sry-box containing gene 6, Pbx1  -  pre b cell leukemia homeobox 1, Tcf4  -  transcription factor 4, Cdk6  -  cyclin-dependent kinase 6, Satb2  -  special at-rich sequence binding protein 2, Zbtb20  -  zinc finger and btb domain containing 20, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Suz12  -  suppressor of zeste 12 homolog (drosophila), Heg1  -  heg homolog 1 (zebrafish), Nrg3  -  neuregulin 3, Grik2  -  glutamate receptor, ionotropic, kainate 2 (beta 2), Zbtb18  -  zinc finger and btb domain containing 18, Fat3  -  fat tumor suppressor homolog 3 (drosophila), Foxp4  -  forkhead box p4, Tead2  -  tea domain family member 2, Gli2  -  gli-kruppel family member gli2, Epha3  -  eph receptor a3, Epha5  -  eph receptor a5, Nrg1  -  neuregulin 1, Abcd2  -  atp-binding cassette, sub-family d (ald), member 2, Plxna2  -  plexin a2, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Sfrp1  -  secreted frizzled-related protein 1, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog, Basp1  -  brain abundant, membrane attached signal protein 1]"
GO:0045664,regulation of neuron differentiation,1.68E-05,6.41E-03,3.53,12835,690,79,15,"[Bcl11b  -  b cell leukemia/lymphoma 11b, Fat3  -  fat tumor suppressor homolog 3 (drosophila), Dleu2  -  deleted in lymphocytic leukemia, 2, Dlx1  -  distal-less homeobox 1, Cdc20  -  cell division cycle 20, Gli2  -  gli-kruppel family member gli2, Epha3  -  eph receptor a3, Nrg1  -  neuregulin 1, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Plxna2  -  plexin a2, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Sfrp1  -  secreted frizzled-related protein 1, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0006928,movement of cell or subcellular component,1.78E-05,6.61E-03,2.9,12835,1065,79,19,"[Nfib  -  nuclear factor i/b, Bcl11b  -  b cell leukemia/lymphoma 11b, Fat3  -  fat tumor suppressor homolog 3 (drosophila), Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Gli2  -  gli-kruppel family member gli2, Dscaml1  -  down syndrome cell adhesion molecule like 1, Epha3  -  eph receptor a3, Epha5  -  eph receptor a5, Nrg1  -  neuregulin 1, Kank2  -  kn motif and ankyrin repeat domains 2, Syne2  -  spectrin repeat containing, nuclear envelope 2, Boc  -  biregional cell adhesion molecule-related/down-regulated by oncogenes (cdon) binding protein, Msn  -  moesin, Plxna2  -  plexin a2, Celsr1  -  cadherin, egf lag seven-pass g-type receptor 1 (flamingo homolog, drosophila), Gpc4  -  glypican 4, Satb2  -  special at-rich sequence binding protein 2, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0021877,forebrain neuron fate commitment,1.84E-05,6.65E-03,54.16,12835,9,79,3,"[Bcl11b  -  b cell leukemia/lymphoma 11b, Satb2  -  special at-rich sequence binding protein 2, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0051961,negative regulation of nervous system development,1.98E-05,7.00E-03,5.22,12835,311,79,10,"[Nrg1  -  neuregulin 1, Nrg3  -  neuregulin 3, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Pbx1  -  pre b cell leukemia homeobox 1, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Fat3  -  fat tumor suppressor homolog 3 (drosophila), Dleu2  -  deleted in lymphocytic leukemia, 2, Dlx1  -  distal-less homeobox 1, Epha3  -  eph receptor a3, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0003002,regionalization,2.04E-05,7.02E-03,6.88,12835,189,79,8,"[Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Plxna2  -  plexin a2, Celsr1  -  cadherin, egf lag seven-pass g-type receptor 1 (flamingo homolog, drosophila), Pbx1  -  pre b cell leukemia homeobox 1, Dlx1  -  distal-less homeobox 1, Sfrp1  -  secreted frizzled-related protein 1, Gli2  -  gli-kruppel family member gli2]"
GO:2000113,negative regulation of cellular macromolecule biosynthetic process,2.22E-05,7.49E-03,2.85,12835,1082,79,19,"[Suz12  -  suppressor of zeste 12 homolog (drosophila), Nfib  -  nuclear factor i/b, Hnrnpr  -  heterogeneous nuclear ribonucleoprotein r, Zbtb18  -  zinc finger and btb domain containing 18, Foxp4  -  forkhead box p4, Dlx1  -  distal-less homeobox 1, Gli2  -  gli-kruppel family member gli2, Nrg1  -  neuregulin 1, Kank2  -  kn motif and ankyrin repeat domains 2, Sox6  -  sry-box containing gene 6, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Tcf4  -  transcription factor 4, Cdk6  -  cyclin-dependent kinase 6, Sfrp1  -  secreted frizzled-related protein 1, Satb2  -  special at-rich sequence binding protein 2, Basp1  -  brain abundant, membrane attached signal protein 1, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Zbtb20  -  zinc finger and btb domain containing 20]"
GO:0009890,negative regulation of biosynthetic process,2.34E-05,7.71E-03,2.74,12835,1187,79,20,"[Suz12  -  suppressor of zeste 12 homolog (drosophila), Nfib  -  nuclear factor i/b, Hnrnpr  -  heterogeneous nuclear ribonucleoprotein r, Zbtb18  -  zinc finger and btb domain containing 18, Foxp4  -  forkhead box p4, Dlx1  -  distal-less homeobox 1, Gli2  -  gli-kruppel family member gli2, Abcd2  -  atp-binding cassette, sub-family d (ald), member 2, Nrg1  -  neuregulin 1, Kank2  -  kn motif and ankyrin repeat domains 2, Sox6  -  sry-box containing gene 6, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Tcf4  -  transcription factor 4, Cdk6  -  cyclin-dependent kinase 6, Sfrp1  -  secreted frizzled-related protein 1, Satb2  -  special at-rich sequence binding protein 2, Basp1  -  brain abundant, membrane attached signal protein 1, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Zbtb20  -  zinc finger and btb domain containing 20]"
GO:0048519,negative regulation of biological process,2.50E-05,8.06E-03,1.73,12835,3937,79,42,"[Rps26  -  ribosomal protein s26, Nfib  -  nuclear factor i/b, Hnrnpr  -  heterogeneous nuclear ribonucleoprotein r, Meis2  -  meis homeobox 2, Bcl11b  -  b cell leukemia/lymphoma 11b, Tpt1  -  tumor protein, translationally-controlled 1, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Dlx1  -  distal-less homeobox 1, Dleu2  -  deleted in lymphocytic leukemia, 2, Dscaml1  -  down syndrome cell adhesion molecule like 1, Kank2  -  kn motif and ankyrin repeat domains 2, Pcdh11x  -  protocadherin 11 x-linked, Rian  -  rna imprinted and accumulated in nucleus, Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Sox6  -  sry-box containing gene 6, Pbx1  -  pre b cell leukemia homeobox 1, Tcf4  -  transcription factor 4, Kcnma1  -  potassium large conductance calcium-activated channel, subfamily m, alpha member 1, Cdk6  -  cyclin-dependent kinase 6, Satb2  -  special at-rich sequence binding protein 2, Zbtb20  -  zinc finger and btb domain containing 20, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Suz12  -  suppressor of zeste 12 homolog (drosophila), Heg1  -  heg homolog 1 (zebrafish), Nrg3  -  neuregulin 3, Grik2  -  glutamate receptor, ionotropic, kainate 2 (beta 2), Iqgap3  -  iq motif containing gtpase activating protein 3, Zbtb18  -  zinc finger and btb domain containing 18, Fat3  -  fat tumor suppressor homolog 3 (drosophila), Foxp4  -  forkhead box p4, Tead2  -  tea domain family member 2, Gli2  -  gli-kruppel family member gli2, Epha3  -  eph receptor a3, Epha5  -  eph receptor a5, Nrg1  -  neuregulin 1, Abcd2  -  atp-binding cassette, sub-family d (ald), member 2, Plxna2  -  plexin a2, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Sfrp1  -  secreted frizzled-related protein 1, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog, Basp1  -  brain abundant, membrane attached signal protein 1]"
GO:0010629,negative regulation of gene expression,2.55E-05,8.04E-03,2.63,12835,1298,79,21,"[Suz12  -  suppressor of zeste 12 homolog (drosophila), Rps26  -  ribosomal protein s26, Nfib  -  nuclear factor i/b, Hnrnpr  -  heterogeneous nuclear ribonucleoprotein r, Iqgap3  -  iq motif containing gtpase activating protein 3, Zbtb18  -  zinc finger and btb domain containing 18, Foxp4  -  forkhead box p4, Dlx1  -  distal-less homeobox 1, Gli2  -  gli-kruppel family member gli2, Nrg1  -  neuregulin 1, Kank2  -  kn motif and ankyrin repeat domains 2, Sox6  -  sry-box containing gene 6, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Tcf4  -  transcription factor 4, Cdk6  -  cyclin-dependent kinase 6, Sfrp1  -  secreted frizzled-related protein 1, Satb2  -  special at-rich sequence binding protein 2, Basp1  -  brain abundant, membrane attached signal protein 1, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Zbtb20  -  zinc finger and btb domain containing 20]"
GO:0032501,multicellular organismal process,2.61E-05,8.04E-03,2.05,12835,2458,79,31,"[Meis2  -  meis homeobox 2, Bcl11b  -  b cell leukemia/lymphoma 11b, Tpt1  -  tumor protein, translationally-controlled 1, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Dlx1  -  distal-less homeobox 1, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Ctnnd2  -  catenin (cadherin associated protein), delta 2, Cdh8  -  cadherin 8, Sox6  -  sry-box containing gene 6, Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Kcnma1  -  potassium large conductance calcium-activated channel, subfamily m, alpha member 1, Satb2  -  special at-rich sequence binding protein 2, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Heg1  -  heg homolog 1 (zebrafish), Nrg3  -  neuregulin 3, Meg3  -  maternally expressed 3, Grik2  -  glutamate receptor, ionotropic, kainate 2 (beta 2), Zbtb18  -  zinc finger and btb domain containing 18, Etl4  -  enhancer trap locus 4, Fat3  -  fat tumor suppressor homolog 3 (drosophila), Gli2  -  gli-kruppel family member gli2, Epha3  -  eph receptor a3, Epha5  -  eph receptor a5, Nrg1  -  neuregulin 1, Plxna2  -  plexin a2, Celsr1  -  cadherin, egf lag seven-pass g-type receptor 1 (flamingo homolog, drosophila), Sfrp1  -  secreted frizzled-related protein 1, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog]"
GO:0061140,lung secretory cell differentiation,2.61E-05,7.88E-03,48.74,12835,10,79,3,"[Nfib  -  nuclear factor i/b, Foxp4  -  forkhead box p4, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:2001223,negative regulation of neuron migration,2.61E-05,7.72E-03,48.74,12835,10,79,3,"[Nrg1  -  neuregulin 1, Nrg3  -  neuregulin 3, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)]"
GO:0010558,negative regulation of macromolecule biosynthetic process,2.69E-05,7.81E-03,2.81,12835,1097,79,19,"[Suz12  -  suppressor of zeste 12 homolog (drosophila), Nfib  -  nuclear factor i/b, Hnrnpr  -  heterogeneous nuclear ribonucleoprotein r, Zbtb18  -  zinc finger and btb domain containing 18, Foxp4  -  forkhead box p4, Dlx1  -  distal-less homeobox 1, Gli2  -  gli-kruppel family member gli2, Nrg1  -  neuregulin 1, Kank2  -  kn motif and ankyrin repeat domains 2, Sox6  -  sry-box containing gene 6, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Tcf4  -  transcription factor 4, Cdk6  -  cyclin-dependent kinase 6, Sfrp1  -  secreted frizzled-related protein 1, Satb2  -  special at-rich sequence binding protein 2, Basp1  -  brain abundant, membrane attached signal protein 1, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Zbtb20  -  zinc finger and btb domain containing 20]"
GO:0010721,negative regulation of cell development,2.74E-05,7.78E-03,5.03,12835,323,79,10,"[Nrg1  -  neuregulin 1, Nrg3  -  neuregulin 3, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Pbx1  -  pre b cell leukemia homeobox 1, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Fat3  -  fat tumor suppressor homolog 3 (drosophila), Dleu2  -  deleted in lymphocytic leukemia, 2, Dlx1  -  distal-less homeobox 1, Epha3  -  eph receptor a3, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0048709,oligodendrocyte differentiation,2.81E-05,7.83E-03,22.41,12835,29,79,4,"[Suz12  -  suppressor of zeste 12 homolog (drosophila), Nrg1  -  neuregulin 1, Sox6  -  sry-box containing gene 6, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0031328,positive regulation of cellular biosynthetic process,2.94E-05,8.03E-03,2.52,12835,1417,79,22,"[Nfib  -  nuclear factor i/b, Meis2  -  meis homeobox 2, Dlx6os1  -  dlx6 opposite strand rna 1, Bcl11b  -  b cell leukemia/lymphoma 11b, Zbtb18  -  zinc finger and btb domain containing 18, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Dlx1  -  distal-less homeobox 1, Tead2  -  tea domain family member 2, Gli2  -  gli-kruppel family member gli2, Abcd2  -  atp-binding cassette, sub-family d (ald), member 2, Nrg1  -  neuregulin 1, Rps3a1  -  ribosomal protein s3a1, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Sox6  -  sry-box containing gene 6, Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Sfrp1  -  secreted frizzled-related protein 1, Satb2  -  special at-rich sequence binding protein 2, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Zbtb20  -  zinc finger and btb domain containing 20]"
GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,3.12E-05,8.37E-03,7.79,12835,146,79,7,"[Gpc4  -  glypican 4, Celsr1  -  cadherin, egf lag seven-pass g-type receptor 1 (flamingo homolog, drosophila), Cdh8  -  cadherin 8, Clstn2  -  calsyntenin 2, Fat3  -  fat tumor suppressor homolog 3 (drosophila), Dscaml1  -  down syndrome cell adhesion molecule like 1, Epha3  -  eph receptor a3]"
GO:0006412,translation,3.27E-05,8.61E-03,5.56,12835,263,79,9,"[Rpl28  -  ribosomal protein l28, Rps26  -  ribosomal protein s26, Rps29  -  ribosomal protein s29, Rps3a1  -  ribosomal protein s3a1, Rpsa  -  ribosomal protein sa, Rpl8  -  ribosomal protein l8, Rpl37a  -  ribosomal protein l37a, Rpl7  -  ribosomal protein l7, Rps16  -  ribosomal protein s16]"
GO:0045934,negative regulation of nucleobase-containing compound metabolic process,3.34E-05,8.63E-03,2.77,12835,1114,79,19,"[Suz12  -  suppressor of zeste 12 homolog (drosophila), Rps26  -  ribosomal protein s26, Nfib  -  nuclear factor i/b, Zbtb18  -  zinc finger and btb domain containing 18, Foxp4  -  forkhead box p4, Dlx1  -  distal-less homeobox 1, Gli2  -  gli-kruppel family member gli2, Nrg1  -  neuregulin 1, Kank2  -  kn motif and ankyrin repeat domains 2, Sox6  -  sry-box containing gene 6, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Tcf4  -  transcription factor 4, Cdk6  -  cyclin-dependent kinase 6, Sfrp1  -  secreted frizzled-related protein 1, Satb2  -  special at-rich sequence binding protein 2, Basp1  -  brain abundant, membrane attached signal protein 1, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Zbtb20  -  zinc finger and btb domain containing 20]"
GO:0021842,chemorepulsion involved in interneuron migration from the subpallium to the cortex,3.74E-05,9.51E-03,162.47,12835,2,79,2,"[Nrg1  -  neuregulin 1, Nrg3  -  neuregulin 3]"
GO:0051254,positive regulation of RNA metabolic process,3.91E-05,9.77E-03,2.64,12835,1230,79,20,"[Nfib  -  nuclear factor i/b, Hnrnpr  -  heterogeneous nuclear ribonucleoprotein r, Meis2  -  meis homeobox 2, Dlx6os1  -  dlx6 opposite strand rna 1, Bcl11b  -  b cell leukemia/lymphoma 11b, Zbtb18  -  zinc finger and btb domain containing 18, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Dlx1  -  distal-less homeobox 1, Tead2  -  tea domain family member 2, Gli2  -  gli-kruppel family member gli2, Nrg1  -  neuregulin 1, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Sox6  -  sry-box containing gene 6, Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Sfrp1  -  secreted frizzled-related protein 1, Satb2  -  special at-rich sequence binding protein 2, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
